,0,0
Afghanistan,75,1
Angola,2,0
Albania,146,5
Andorra,188,0
Argentina,471,7
Antigua_and_Barbuda,3,0
Algeria,264,17
Anguilla,0,0
Argentina,19,1
Armenia,290,0
Aruba,19,0
Australia,2423,8
Austria,5888,34
Azerbaijan,93,2
Bahamas,5,0
Bahrain,419,3
Bangladesh,39,5
Barbados,18,0
Belarus,86,0
Belgium,4937,178
Belize,2,0
Benin,5,0
Bermuda,6,0
Bhutan,3,0
Bolivia,39,0
Bosnia_and_Herzegovina,181,3
Brazil,2433,57
British_Virgin_Islands,0,0
Brunei_Darussalam,107,0
Bulgaria,242,3
Burkina_Faso,114,3
Cambodia,96,0
Cameroon,72,1
Canada,3385,35
Cape_Verde,4,1
Cases_on_an_international_conveyance_Japan,705,6
Cayman_Islands,3,1
Central_African_Republic,4,0
Chad,3,0
Chile,1142,3
China,81968,3293
Colombia,470,4
Congo,4,0
Costa_Rica,201,2
Cote_dIvoire,80,0
Croatia,418,1
Cuba,57,1
Curaçao,6,1
Cyprus,132,3
Czech_Republic,1654,6
Democratic_Republic_of_the_Congo,45,3
Denmark,1724,34
Djibouti,12,0
Dominica,7,0
Dominican_Republic,392,10
Ecuador,1211,29
Egypt,442,21
El_Salvador,13,0
Equatorial_Guinea,11,0
Eritrea,4,0
Estonia,404,1
Eswatini,4,0
Ethiopia,12,0
Faroe_Islands,132,0
Fiji,5,0
Finland,880,3
France,25233,1331
French_Polynesia,25,0
Gabon,6,1
Gambia,3,1
Georgia,73,0
Germany,36508,198
Ghana,68,3
Gibraltar,26,0
Greece,821,22
Greenland,5,0
Grenada,1,0
Guam,37,1
Guatemala,24,1
Guernsey,30,0
Guinea,4,0
Guinea_Bissau,0,0
Guyana,5,1
Haiti,8,0
Holy_See,1,0
Honduras,52,0
Hungary,261,10
Iceland,737,2
India,649,13
Indonesia,790,58
Iran,27017,2077
Iraq,346,29
Ireland,1564,9
Isle_of_Man,23,0
Israel,2369,5
Italy,74386,7505
Jamaica,25,1
Japan,1268,45
Jersey,18,0
Jordan,153,0
Kazakhstan,88,0
Kenya,25,0
Kosovo,71,1
Kuwait,195,0
Kyrgyzstan,44,0
Laos,2,0
Latvia,221,0
Lebanon,333,4
Liberia,3,0
Libya,1,0
Liechtenstein,51,0
Lithuania,274,4
Luxembourg,1333,8
Madagascar,19,0
Malaysia,1796,19
Maldives,13,0
Mali,2,0
Malta,129,0
Mauritania,2,0
Mauritius,48,2
Mexico,475,5
Moldova,149,1
Monaco,31,0
Mongolia,10,0
Montenegro,53,0
Montserrat,1,0
Morocco,225,6
Mozambique,5,0
Myanmar,3,0
Namibia,4,0
Nepal,3,0
Netherlands,6412,356
New_Caledonia,14,0
New_Zealand,283,0
Nicaragua,2,0
Niger,7,1
Nigeria,51,1
North_Macedonia,177,2
Norway,2916,12
Oman,99,0
Pakistan,1057,8
Palestine,62,0
Panama,588,6
Papua_New_Guinea,1,0
Paraguay,41,3
Peru,558,8
Philippines,636,38
Poland,1051,14
Portugal,2995,43
Qatar,537,0
Romania,906,13
Russia,658,0
Rwanda,41,0
Saint_Kitts_and_Nevis,2,0
Saint_Lucia,3,0
Saint_Vincent_and_the_Grenadines,1,0
San_Marino,208,21
Saudi_Arabia,900,2
Senegal,99,0
Serbia,303,2
Seychelles,7,0
Singapore,568,2
Sint_Maarten,2,0
Slovakia,216,0
Slovenia,528,4
Somalia,1,0
South_Africa,709,0
South_Korea,9241,131
Spain,47610,3434
Sri_Lanka,102,0
Sudan,3,1
Suriname,8,0
Sweden,2510,42
Switzerland,9714,103
Syria,1,0
Taiwan,235,2
Thailand,1045,4
Timor_Leste,1,0
Togo,23,0
Trinidad_and_Tobago,60,1
Tunisia,173,5
Turkey,2433,59
Turks_and_Caicos_islands,1,0
Uganda,14,0
Ukraine,113,4
United_Arab_Emirates,333,2
United_Kingdom,9529,463
United_Republic_of_Tanzania,12,0
United_States_of_America,69194,1050
United_States_Virgin_Islands,17,0
Uruguay,217,0
Uzbekistan,65,0
Venezuela,106,0
Vietnam,148,0
Zambia,12,0
